taille de la grille complète :=400;
nombre de cibles supprimées :=49;
param:   Points:  a  b  :=
 1 : (1, 2)
 2 : (1, 5)
 3 : (1, 8)
 4 : (1, 11)
 5 : (1, 14)
 6 : (1, 17)
 7 : (1, 20)
 8 : (4, 0)
 9 : (4, 3)
 10 : (4, 6)
 11 : (4, 9)
 12 : (4, 12)
 13 : (4, 15)
 14 : (4, 18)
 15 : (7, 2)
 16 : (7, 5)
 17 : (7, 8)
 18 : (7, 11)
 19 : (7, 14)
 20 : (7, 17)
 21 : (7, 20)
 22 : (10, 0)
 23 : (10, 3)
 24 : (10, 6)
 25 : (10, 9)
 26 : (10, 12)
 27 : (10, 15)
 28 : (10, 18)
 29 : (13, 2)
 30 : (13, 5)
 31 : (13, 8)
 32 : (13, 11)
 33 : (13, 14)
 34 : (13, 17)
 35 : (13, 20)
 36 : (16, 0)
 37 : (16, 3)
 38 : (16, 6)
 39 : (16, 9)
 40 : (16, 12)
 41 : (16, 15)
 42 : (16, 18)
 43 : (19, 2)
 44 : (19, 5)
 45 : (19, 8)
 46 : (19, 11)
 47 : (19, 14)
 48 : (19, 17)
 49 : (19, 20)
