taille de la grille complète :=625;
nombre de cibles supprimées :=68;
param:   Points:  a  b  :=
 1 : (1, 2)
 2 : (1, 5)
 3 : (1, 8)
 4 : (1, 11)
 5 : (1, 14)
 6 : (1, 17)
 7 : (1, 20)
 8 : (1, 23)
 9 : (4, 0)
 10 : (4, 3)
 11 : (4, 6)
 12 : (4, 9)
 13 : (4, 12)
 14 : (4, 15)
 15 : (4, 18)
 16 : (4, 21)
 17 : (4, 24)
 18 : (7, 2)
 19 : (7, 5)
 20 : (7, 8)
 21 : (7, 11)
 22 : (7, 14)
 23 : (7, 17)
 24 : (7, 20)
 25 : (7, 23)
 26 : (10, 0)
 27 : (10, 3)
 28 : (10, 6)
 29 : (10, 9)
 30 : (10, 12)
 31 : (10, 15)
 32 : (10, 18)
 33 : (10, 21)
 34 : (10, 24)
 35 : (13, 2)
 36 : (13, 5)
 37 : (13, 8)
 38 : (13, 11)
 39 : (13, 14)
 40 : (13, 17)
 41 : (13, 20)
 42 : (13, 23)
 43 : (16, 0)
 44 : (16, 3)
 45 : (16, 6)
 46 : (16, 9)
 47 : (16, 12)
 48 : (16, 15)
 49 : (16, 18)
 50 : (16, 21)
 51 : (16, 24)
 52 : (19, 2)
 53 : (19, 5)
 54 : (19, 8)
 55 : (19, 11)
 56 : (19, 14)
 57 : (19, 17)
 58 : (19, 20)
 59 : (19, 23)
 60 : (22, 0)
 61 : (22, 3)
 62 : (22, 6)
 63 : (22, 9)
 64 : (22, 12)
 65 : (22, 15)
 66 : (22, 18)
 67 : (22, 21)
 68 : (22, 24)
