taille de la grille complète :=1600;
nombre de cibles supprimées :=377;
param:   Points:  a  b  :=
 1 : (5, 5)
 2 : (5, 6)
 3 : (5, 7)
 4 : (5, 8)
 5 : (5, 9)
 6 : (5, 10)
 7 : (5, 11)
 8 : (5, 12)
 9 : (5, 13)
 10 : (5, 14)
 11 : (5, 15)
 12 : (6, 5)
 13 : (6, 6)
 14 : (6, 7)
 15 : (6, 8)
 16 : (6, 9)
 17 : (6, 10)
 18 : (6, 11)
 19 : (6, 12)
 20 : (6, 13)
 21 : (6, 14)
 22 : (6, 15)
 23 : (7, 5)
 24 : (7, 6)
 25 : (7, 7)
 26 : (7, 8)
 27 : (7, 9)
 28 : (7, 10)
 29 : (7, 11)
 30 : (7, 12)
 31 : (7, 13)
 32 : (7, 14)
 33 : (7, 15)
 34 : (8, 5)
 35 : (8, 6)
 36 : (8, 7)
 37 : (8, 8)
 38 : (8, 9)
 39 : (8, 10)
 40 : (8, 11)
 41 : (8, 12)
 42 : (8, 13)
 43 : (8, 14)
 44 : (8, 15)
 45 : (9, 5)
 46 : (9, 6)
 47 : (9, 7)
 48 : (9, 8)
 49 : (9, 9)
 50 : (9, 10)
 51 : (9, 11)
 52 : (9, 12)
 53 : (9, 13)
 54 : (9, 14)
 55 : (9, 15)
 56 : (10, 5)
 57 : (10, 6)
 58 : (10, 7)
 59 : (10, 8)
 60 : (10, 9)
 61 : (10, 10)
 62 : (10, 11)
 63 : (10, 12)
 64 : (10, 13)
 65 : (10, 14)
 66 : (10, 15)
 67 : (11, 5)
 68 : (11, 6)
 69 : (11, 7)
 70 : (11, 8)
 71 : (11, 9)
 72 : (11, 10)
 73 : (11, 11)
 74 : (11, 12)
 75 : (11, 13)
 76 : (11, 14)
 77 : (11, 15)
 78 : (12, 5)
 79 : (12, 6)
 80 : (12, 7)
 81 : (12, 8)
 82 : (12, 9)
 83 : (12, 10)
 84 : (12, 11)
 85 : (12, 12)
 86 : (12, 13)
 87 : (12, 14)
 88 : (12, 15)
 89 : (13, 5)
 90 : (13, 6)
 91 : (13, 7)
 92 : (13, 8)
 93 : (13, 9)
 94 : (13, 10)
 95 : (13, 11)
 96 : (13, 12)
 97 : (13, 13)
 98 : (13, 14)
 99 : (13, 15)
 100 : (14, 5)
 101 : (14, 6)
 102 : (14, 7)
 103 : (14, 8)
 104 : (14, 9)
 105 : (14, 10)
 106 : (14, 11)
 107 : (14, 12)
 108 : (14, 13)
 109 : (14, 14)
 110 : (14, 15)
 111 : (15, 5)
 112 : (15, 6)
 113 : (15, 7)
 114 : (15, 8)
 115 : (15, 9)
 116 : (15, 10)
 117 : (15, 11)
 118 : (15, 12)
 119 : (15, 13)
 120 : (15, 14)
 121 : (15, 15)
 122 : (20, 20)
 123 : (20, 21)
 124 : (20, 22)
 125 : (20, 23)
 126 : (20, 24)
 127 : (20, 25)
 128 : (20, 26)
 129 : (20, 27)
 130 : (20, 28)
 131 : (20, 29)
 132 : (20, 30)
 133 : (20, 31)
 134 : (20, 32)
 135 : (20, 33)
 136 : (20, 34)
 137 : (20, 35)
 138 : (21, 20)
 139 : (21, 21)
 140 : (21, 22)
 141 : (21, 23)
 142 : (21, 24)
 143 : (21, 25)
 144 : (21, 26)
 145 : (21, 27)
 146 : (21, 28)
 147 : (21, 29)
 148 : (21, 30)
 149 : (21, 31)
 150 : (21, 32)
 151 : (21, 33)
 152 : (21, 34)
 153 : (21, 35)
 154 : (22, 20)
 155 : (22, 21)
 156 : (22, 22)
 157 : (22, 23)
 158 : (22, 24)
 159 : (22, 25)
 160 : (22, 26)
 161 : (22, 27)
 162 : (22, 28)
 163 : (22, 29)
 164 : (22, 30)
 165 : (22, 31)
 166 : (22, 32)
 167 : (22, 33)
 168 : (22, 34)
 169 : (22, 35)
 170 : (23, 20)
 171 : (23, 21)
 172 : (23, 22)
 173 : (23, 23)
 174 : (23, 24)
 175 : (23, 25)
 176 : (23, 26)
 177 : (23, 27)
 178 : (23, 28)
 179 : (23, 29)
 180 : (23, 30)
 181 : (23, 31)
 182 : (23, 32)
 183 : (23, 33)
 184 : (23, 34)
 185 : (23, 35)
 186 : (24, 20)
 187 : (24, 21)
 188 : (24, 22)
 189 : (24, 23)
 190 : (24, 24)
 191 : (24, 25)
 192 : (24, 26)
 193 : (24, 27)
 194 : (24, 28)
 195 : (24, 29)
 196 : (24, 30)
 197 : (24, 31)
 198 : (24, 32)
 199 : (24, 33)
 200 : (24, 34)
 201 : (24, 35)
 202 : (25, 20)
 203 : (25, 21)
 204 : (25, 22)
 205 : (25, 23)
 206 : (25, 24)
 207 : (25, 25)
 208 : (25, 26)
 209 : (25, 27)
 210 : (25, 28)
 211 : (25, 29)
 212 : (25, 30)
 213 : (25, 31)
 214 : (25, 32)
 215 : (25, 33)
 216 : (25, 34)
 217 : (25, 35)
 218 : (26, 20)
 219 : (26, 21)
 220 : (26, 22)
 221 : (26, 23)
 222 : (26, 24)
 223 : (26, 25)
 224 : (26, 26)
 225 : (26, 27)
 226 : (26, 28)
 227 : (26, 29)
 228 : (26, 30)
 229 : (26, 31)
 230 : (26, 32)
 231 : (26, 33)
 232 : (26, 34)
 233 : (26, 35)
 234 : (27, 20)
 235 : (27, 21)
 236 : (27, 22)
 237 : (27, 23)
 238 : (27, 24)
 239 : (27, 25)
 240 : (27, 26)
 241 : (27, 27)
 242 : (27, 28)
 243 : (27, 29)
 244 : (27, 30)
 245 : (27, 31)
 246 : (27, 32)
 247 : (27, 33)
 248 : (27, 34)
 249 : (27, 35)
 250 : (28, 20)
 251 : (28, 21)
 252 : (28, 22)
 253 : (28, 23)
 254 : (28, 24)
 255 : (28, 25)
 256 : (28, 26)
 257 : (28, 27)
 258 : (28, 28)
 259 : (28, 29)
 260 : (28, 30)
 261 : (28, 31)
 262 : (28, 32)
 263 : (28, 33)
 264 : (28, 34)
 265 : (28, 35)
 266 : (29, 20)
 267 : (29, 21)
 268 : (29, 22)
 269 : (29, 23)
 270 : (29, 24)
 271 : (29, 25)
 272 : (29, 26)
 273 : (29, 27)
 274 : (29, 28)
 275 : (29, 29)
 276 : (29, 30)
 277 : (29, 31)
 278 : (29, 32)
 279 : (29, 33)
 280 : (29, 34)
 281 : (29, 35)
 282 : (30, 20)
 283 : (30, 21)
 284 : (30, 22)
 285 : (30, 23)
 286 : (30, 24)
 287 : (30, 25)
 288 : (30, 26)
 289 : (30, 27)
 290 : (30, 28)
 291 : (30, 29)
 292 : (30, 30)
 293 : (30, 31)
 294 : (30, 32)
 295 : (30, 33)
 296 : (30, 34)
 297 : (30, 35)
 298 : (31, 20)
 299 : (31, 21)
 300 : (31, 22)
 301 : (31, 23)
 302 : (31, 24)
 303 : (31, 25)
 304 : (31, 26)
 305 : (31, 27)
 306 : (31, 28)
 307 : (31, 29)
 308 : (31, 30)
 309 : (31, 31)
 310 : (31, 32)
 311 : (31, 33)
 312 : (31, 34)
 313 : (31, 35)
 314 : (32, 20)
 315 : (32, 21)
 316 : (32, 22)
 317 : (32, 23)
 318 : (32, 24)
 319 : (32, 25)
 320 : (32, 26)
 321 : (32, 27)
 322 : (32, 28)
 323 : (32, 29)
 324 : (32, 30)
 325 : (32, 31)
 326 : (32, 32)
 327 : (32, 33)
 328 : (32, 34)
 329 : (32, 35)
 330 : (33, 20)
 331 : (33, 21)
 332 : (33, 22)
 333 : (33, 23)
 334 : (33, 24)
 335 : (33, 25)
 336 : (33, 26)
 337 : (33, 27)
 338 : (33, 28)
 339 : (33, 29)
 340 : (33, 30)
 341 : (33, 31)
 342 : (33, 32)
 343 : (33, 33)
 344 : (33, 34)
 345 : (33, 35)
 346 : (34, 20)
 347 : (34, 21)
 348 : (34, 22)
 349 : (34, 23)
 350 : (34, 24)
 351 : (34, 25)
 352 : (34, 26)
 353 : (34, 27)
 354 : (34, 28)
 355 : (34, 29)
 356 : (34, 30)
 357 : (34, 31)
 358 : (34, 32)
 359 : (34, 33)
 360 : (34, 34)
 361 : (34, 35)
 362 : (35, 20)
 363 : (35, 21)
 364 : (35, 22)
 365 : (35, 23)
 366 : (35, 24)
 367 : (35, 25)
 368 : (35, 26)
 369 : (35, 27)
 370 : (35, 28)
 371 : (35, 29)
 372 : (35, 30)
 373 : (35, 31)
 374 : (35, 32)
 375 : (35, 33)
 376 : (35, 34)
 377 : (35, 35)
