 Nombre de cibles : 401
 0  0.00 0.00 
 1  3.96 4.28
 2  3.54 1.26
 3  5.72 1.28
 4  4.09 2.96
 5  0.18 2.21
 6  0.43 0.59
 7  6.84 6.85
 8  6.12 0.37
 9  1.88 0.65
 10  6.17 3.94
 11  4.64 6.87
 12  6.73 0.98
 13  1.56 1.50
 14  0.08 6.08
 15  2.32 3.75
 16  3.90 6.28
 17  1.03 0.44
 18  0.54 6.75
 19  1.72 4.63
 20  2.70 1.90
 21  6.85 3.13
 22  2.48 6.68
 23  2.98 1.60
 24  0.06 4.86
 25  2.25 6.22
 26  1.80 6.89
 27  6.09 1.53
 28  0.87 0.66
 29  3.03 0.95
 30  6.74 5.35
 31  4.70 3.63
 32  4.64 5.73
 33  4.07 5.18
 34  5.48 5.79
 35  2.81 1.18
 36  0.69 2.66
 37  4.31 3.17
 38  2.34 0.29
 39  4.77 2.40
 40  5.15 0.02
 41  1.62 6.94
 42  6.91 0.72
 43  1.48 0.78
 44  1.37 4.51
 45  1.73 1.11
 46  2.86 6.44
 47  4.74 0.50
 48  5.17 1.81
 49  5.68 3.65
 50  0.60 1.49
 51  4.83 1.29
 52  4.15 2.14
 53  4.46 6.49
 54  2.43 2.23
 55  1.89 0.58
 56  2.25 3.51
 57  0.52 2.16
 58  4.23 2.00
 59  2.94 5.60
 60  6.51 4.67
 61  6.71 2.37
 62  4.11 4.45
 63  2.87 2.28
 64  6.26 1.55
 65  5.93 6.86
 66  3.04 3.76
 67  1.14 0.18
 68  5.91 5.60
 69  6.67 1.34
 70  0.83 1.56
 71  1.92 3.08
 72  5.08 2.44
 73  5.24 2.30
 74  4.45 1.18
 75  0.90 3.95
 76  5.85 0.61
 77  6.32 2.96
 78  5.06 2.19
 79  5.25 4.32
 80  3.74 4.18
 81  4.17 6.77
 82  0.94 5.31
 83  6.96 6.85
 84  3.91 6.63
 85  1.19 4.74
 86  1.19 3.11
 87  0.82 6.27
 88  5.56 6.06
 89  1.57 3.00
 90  0.24 2.47
 91  6.96 6.09
 92  3.08 6.28
 93  2.05 1.14
 94  1.47 0.30
 95  5.46 5.21
 96  4.48 2.63
 97  4.98 5.42
 98  0.95 4.94
 99  5.27 4.86
 100  4.57 6.46
 101  2.60 5.76
 102  2.57 3.41
 103  5.03 1.13
 104  2.47 6.60
 105  4.13 2.71
 106  2.07 4.09
 107  1.80 5.16
 108  3.37 3.85
 109  6.30 4.84
 110  4.15 4.76
 111  3.05 1.63
 112  0.39 1.03
 113  0.05 1.34
 114  5.96 5.32
 115  6.20 3.53
 116  4.78 1.79
 117  2.29 0.35
 118  5.20 0.32
 119  1.48 0.67
 120  6.92 5.62
 121  3.38 1.99
 122  2.70 5.17
 123  0.15 6.07
 124  2.02 6.45
 125  3.91 6.17
 126  4.21 6.95
 127  0.80 4.61
 128  0.98 0.85
 129  5.94 6.95
 130  6.16 5.14
 131  3.48 3.94
 132  6.93 5.77
 133  4.29 5.14
 134  6.09 5.77
 135  5.81 6.01
 136  4.39 2.19
 137  1.00 0.09
 138  0.36 1.14
 139  6.16 2.39
 140  0.59 3.07
 141  1.56 4.80
